current_density,cell_voltage,power_density,sbh_weight_percent,catalyst_loading
12.567,0.87678,11.018,3,13.4
8.031,0.91643,7.3599,3,13.4
373.22,0.21395,79.851,5,13.4
358.83,0.26446,94.896,5,13.4
337.9,0.31446,106.26,5,13.4
313.87,0.36429,114.34,5,13.4
282.77,0.41412,117.1,5,13.4
245.96,0.46474,114.31,5,13.4
207.64,0.51444,106.82,5,13.4
172.17,0.56445,97.182,5,13.4
140.86,0.61421,86.52,5,13.4
112.78,0.665,74.997,5,13.4
88.418,0.71471,63.193,5,13.4
67.318,0.76449,51.464,5,13.4
48.031,0.81432,39.113,5,13.4
26.771,0.86613,23.187,5,13.4
11.419,0.91106,10.403,5,13.4
375.92,0.17229,64.766,8,13.4
319.37,0.20773,66.342,8,13.4
297.18,0.26087,77.526,8,13.4
284.75,0.31315,89.169,8,13.4
288.21,0.36844,106.19,8,13.4
257.66,0.43237,111.4,8,13.4
227.99,0.46927,106.99,8,13.4
154.69,0.5349,82.742,8,13.4
126.31,0.57777,72.979,8,13.4
130.24,0.62521,81.427,8,13.4
110.37,0.67936,74.982,8,13.4
48.594,0.73122,35.533,8,13.4
48.685,0.76124,37.061,8,13.4
33.98,0.8336,28.326,8,13.4
3.8611,0.85594,3.3049,8,13.4
22.094,0.1692,3.7383,0.05,17.7
9.4042,0.21389,2.0115,0.05,17.7
6.1344,0.26259,1.6109,0.05,17.7
2.5862,0.32067,0.82931,0.05,17.7
0.48287,0.383,0.18494,0.05,17.7
0.49191,0.41395,0.20363,0.05,17.7
0.4901,0.43826,0.21479,0.05,17.7
0.44127,0.46098,0.20342,0.05,17.7
0.48649,0.4805,0.23375,0.05,17.7
0.4467,0.49782,0.22238,0.05,17.7
0.44489,0.51478,0.22902,0.05,17.7
0.48106,0.53042,0.25516,0.05,17.7
0.46117,0.54497,0.25132,0.05,17.7
0.49372,0.55818,0.27559,0.05,17.7
0.45755,0.57136,0.26142,0.05,17.7
0.43585,0.58362,0.25437,0.05,17.7
55.241,0.20912,11.552,0.5,17.7
60.505,0.26551,16.065,0.5,17.7
26.249,0.31245,8.2013,0.5,17.7
21.543,0.35132,7.5685,0.5,17.7
32.672,0.39967,13.058,0.5,17.7
22.335,0.45155,10.085,0.5,17.7
3.6586,0.50024,1.8302,0.5,17.7
4.6515,0.55996,2.6046,0.5,17.7
3.2426,0.61382,1.9904,0.5,17.7
0.4033,0.5476,0.22084,0.5,17.7
0.35989,0.63358,0.22802,0.5,17.7
0.33457,0.67629,0.22627,0.5,17.7
0.55702,0.70813,0.39444,0.5,17.7
0.29117,0.73532,0.2141,0.5,17.7
0.3201,0.75929,0.24305,0.5,17.7
100.51,0.20431,20.535,1,17.7
81.463,0.25459,20.739,1,17.7
67.145,0.30452,20.447,1,17.7
55.144,0.35457,19.553,1,17.7
44.925,0.40514,18.201,1,17.7
36.161,0.45513,16.458,1,17.7
27.377,0.49921,13.667,1,17.7
21.134,0.55224,11.671,1,17.7
19.345,0.60559,11.715,1,17.7
14.251,0.65582,9.3458,1,17.7
11.536,0.70447,8.1268,1,17.7
10.501,0.75498,7.9279,1,17.7
7.9784,0.78463,6.2601,1,17.7
7.9822,0.82595,6.5929,1,17.7
7.9923,0.85264,6.8145,1,17.7
317.72,0.22095,70.2,3,17.7
295.09,0.27069,79.876,3,17.7
269.46,0.32058,86.383,3,17.7
241.98,0.3713,89.847,3,17.7
214.36,0.42111,90.269,3,17.7
187.14,0.47104,88.151,3,17.7
160.76,0.52088,83.735,3,17.7
136.14,0.57147,77.799,3,17.7
