z_real,z_img,applied_voltage,sbh_weight_percent,catalyst_loading
0.1076,-0.00756,0.3,5,8.8
0.10767,-0.0078,0.3,5,8.8
0.10752,-0.00758,0.3,5,8.8
0.10759,-0.00752,0.3,5,8.8
0.1077,-0.00754,0.3,5,8.8
0.10765,-0.00759,0.3,5,8.8
0.10764,-0.00765,0.3,5,8.8
0.10753,-0.00753,0.3,5,8.8
0.10753,-0.00758,0.3,5,8.8
0.10741,-0.00769,0.3,5,8.8
0.10749,-0.00758,0.3,5,8.8
0.10909,-0.01117,0.3,5,8.8
0.11205,-0.0101,0.3,5,8.8
0.11384,-0.00743,0.3,5,8.8
0.11467,-0.00491,0.3,5,8.8
0.11504,-0.00283,0.3,5,8.8
0.11547,-0.00123,0.3,5,8.8
0.11601,9.56E-05,0.3,5,8.8
0.11652,0.00117,0.3,5,8.8
0.11714,0.002,0.3,5,8.8
0.11765,0.00256,0.3,5,8.8
0.11827,0.00297,0.3,5,8.8
0.1191,0.00349,0.3,5,8.8
0.11961,0.00367,0.3,5,8.8
0.12014,0.00393,0.3,5,8.8
0.1208,0.00424,0.3,5,8.8
0.12143,0.00448,0.3,5,8.8
0.12192,0.00493,0.3,5,8.8
0.12258,0.00523,0.3,5,8.8
0.12325,0.00546,0.3,5,8.8
0.12386,0.00584,0.3,5,8.8
0.12477,0.00651,0.3,5,8.8
0.12562,0.00715,0.3,5,8.8
0.12654,0.00797,0.3,5,8.8
0.12712,0.00873,0.3,5,8.8
0.12845,0.0095,0.3,5,8.8
0.1297,0.01053,0.3,5,8.8
0.13127,0.0117,0.3,5,8.8
0.13253,0.01307,0.3,5,8.8
0.13445,0.01446,0.3,5,8.8
0.13781,0.01637,0.3,5,8.8
0.13907,0.01785,0.3,5,8.8
0.14108,0.01999,0.3,5,8.8
0.14448,0.02285,0.3,5,8.8
0.14996,0.02405,0.3,5,8.8
0.15221,0.02702,0.3,5,8.8
0.15655,0.03105,0.3,5,8.8
0.16556,0.03424,0.3,5,8.8
0.16744,0.04007,0.3,5,8.8
0.17452,0.04456,0.3,5,8.8
0.17971,0.0504,0.3,5,8.8
0.18913,0.0553,0.3,5,8.8
0.19556,0.06716,0.3,5,8.8
0.20972,0.07308,0.3,5,8.8
