z_real,z_img,applied_voltage,sbh_weight_percent,catalyst_loading
0.05478,0.02739,0.7,1,4.4
0.05003,-0.03037,0.7,1,4.4
0.05595,-0.00494,0.7,1,4.4
0.05343,0.01257,0.7,1,4.4
0.04755,0.02607,0.7,1,4.4
0.07656,-0.00306,0.7,1,4.4
0.07379,0.01013,0.7,1,4.4
0.07155,0.0219,0.7,1,4.4
0.04821,-0.01985,0.7,1,4.4
0.05064,-0.01447,0.7,1,4.4
0.10263,-0.01996,0.7,1,4.4
0.10449,-0.01451,0.7,1,4.4
0.10577,-0.00881,0.7,1,4.4
0.10363,0,0.7,1,4.4
0.10363,0,0.7,1,4.4
0.11936,0.00746,0.7,1,4.4
0.11451,0.01388,0.7,1,4.4
0.11697,0.01828,0.7,1,4.4
0.11277,0.02819,0.7,1,4.4
0.10716,0.03684,0.7,1,4.4
0.10519,0.04411,0.7,1,4.4
0.09509,0.05215,0.7,1,4.4
0.08674,0.06281,0.7,1,4.4
0.11021,0.02993,0.7,1,4.4
0.10331,0.04316,0.7,1,4.4
0.13407,0.02681,0.7,1,4.4
0.12661,0.03617,0.7,1,4.4
0.1218,0.04962,0.7,1,4.4
0.15798,0.04056,0.7,1,4.4
0.15427,0.05213,0.7,1,4.4
0.20263,0.09352,0.7,1,4.4
0.19986,0.10363,0.7,1,4.4
0.23698,0.10069,0.7,1,4.4
0.2353,0.1064,0.7,1,4.4
0.2755,0.11453,0.7,1,4.4
0.2755,0.11453,0.7,1,4.4
0.3197,0.16347,0.7,1,4.4
0.3197,0.16347,0.7,1,4.4
0.36063,0.16995,0.7,1,4.4
0.36167,0.21452,0.7,1,4.4
0.36271,0.25908,0.7,1,4.4
0.40127,0.26751,0.7,1,4.4
0.44585,0.3121,0.7,1,4.4
0.47929,0.34858,0.7,1,4.4
0.52286,0.43572,0.7,1,4.4
0.56644,0.52286,0.7,1,4.4
0.69715,0.61001,0.7,1,4.4
0.7843,0.65358,0.7,1,4.4
0.87144,0.69715,0.7,1,4.4
1.0893,0.7843,0.7,1,4.4
1.1764,0.82787,0.7,1,4.4
1.4379,0.82787,0.7,1,4.4
1.6122,0.87144,0.7,1,4.4
1.7429,0.74072,0.7,1,4.4
1.8736,0.69715,0.7,1,4.4
0.16794,-0.00855,0.3,3,4.4
0.16937,-0.01397,0.3,3,4.4
0.1735,-0.01283,0.3,3,4.4
0.17569,-0.00927,0.3,3,4.4
0.17688,-0.00586,0.3,3,4.4
0.17744,-0.00285,0.3,3,4.4
0.17814,-5.71E-04,0.3,3,4.4
0.17846,0.00187,0.3,3,4.4
0.17916,0.00349,0.3,3,4.4
0.17993,0.00501,0.3,3,4.4
0.18096,0.00641,0.3,3,4.4
